ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Bi̻n EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Financial Leverage,Asset Turnover,Days Sales Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PRE,2024,2,1.1560137756,1941840000000.0,104400000.0,6.0715206067,1.3515904835,5.9774995329,443.2974394444444,16089.7736619636,-48.8093949354,0.15048239671967192,0.1362644664,-0.0228720299,0.0361578162,-0.03603199426502288,-42608071352.0,-11081494151,0.0860215054,1.1486656684,0.0210984888,1.1486656684,3.8040963812719064,0.2329290526,183.05534435228964,183.05534435228964,0.14121747,2.8040963813,0.0017150189721658888,1.6089773661963602
PRE,2024,1,1.2090936006,1983600000000.0,104400000.0,9.320392186,1.4374325949,350.8218372927,450.0414772222222,15714.2507331992,-52.4477476887,0.14648372452093728,0.1460287264,-0.0231643279,0.0346108159,-0.03442880172908778,-41910905175.0,-11042961905,0.0842105263,1.1328729193,0.0020861607,1.1328729193,3.690338329599176,0.2247912618,169.7174597685975,169.7174597685975,0.1363797546,2.6903383296,0.0018706097784396852,1.5714250733199233
PRE,2023,4,1.1923316626,1900080000000.0,104400000.0,8.6739610932,1.3497821103,30.0421866062,771.2851573084291,15264.209255977,-53.5099132471,0.3846478837255121,0.1606167682,-0.0256998472,0.0341919334,-0.06462157648542081,-39649955437.0,-13527877872,0.0879120879,1.0547229872,0.0049290117,1.0547229872,3.692254952668196,0.2380855472,136.56438590206906,136.56438590206906,0.0,2.6920126862,0.002109864603721223,1.5262686208438698
PRE,2023,3,1.2019383646,1962720000000.0,104400000.0,9.4393769508,1.4511779514,17.5058091561,471.5977693869732,15641.4010511303,-51.0019392785,0.15249152740310395,0.1588121334,-0.0235532822,0.0283028435,-0.025375660350650146,-42827894519.0,-8193017437,0.085106383,1.0742328294,0.0040994359,1.0742328294,3.885222150719948,0.2174611736,163.5966510492793,163.5966510492793,0.1475233103,2.8852221507,0.0021312316196738473,1.5641401051130268
PRE,2023,2,1.8622999239,1774800000000.0,104400000.0,9.7348553981,1.3624665014,10.6849506091,342.2354395402299,9128.4973930556,-31.304923333,0.14219548795387252,0.1505760355,-0.0372805032,0.0233226995,-0.04147573622979026,-44299924164.0,-10421584800,0.0941176471,0.9483170911,0.1228662732,0.9483170911,6.582695788664485,0.2160504875,181.80317933831705,181.80317933831705,0.278802139,5.5826957887,0.004005389196362148,0.9128497393055556
PRE,2023,1,1.1474369766,1785240000000.0,104400000.0,10.0905687023,1.3852753616,29.6207194215,349.77317707854405,14902.7792798563,-31.5870826701,0.10583706566854047,0.1493132148,-0.0388898551,0.0237574652,-0.025396882401420864,-41638473951.0,-8762532020,0.0935672515,0.9783538607,0.118640181,0.9783538607,6.839440278467818,0.2214666128,197.3193675538855,197.3193675538855,0.184049489,5.8394402785,0.004416900223364137,0.8849139433113027
PRE,2022,4,1.1341014497,1764360000000.0,104400000.0,9.0406250432,1.4710009579,23.6854402104,522.502121532567,14901.6651066092,-51.7176269297,0.3194354515779883,0.1678903365,-0.0385731177,0.0278330332,-0.09813614436375641,-34908744909.0,-16758472638,0.0828402367,1.0214258431,0.1198721328,1.0214258431,6.43145106287766,0.2186792711,140.10598250025672,140.10598250025672,0.0,5.4321336491,0.004594127466563344,0.8848964323208812
PRE,2022,3,1.265999924,1983600000000.0,104400000.0,9.3442295543,1.7953353549,40.7637670827,132.42431418582376,15007.8997946456,-53.9937163909,0.05111129613270263,0.1657814194,-0.036240866,0.0286393922,-0.03509120511844326,-37497649377.0,-9491822757,0.0736842105,1.0267765281,0.012651828,1.0267765281,5.972963423538721,0.2065401898,231.13687915946784,231.13687915946784,0.106815623,4.9729634235,0.0012814657567193069,0.8954259947902299
PRE,2022,2,1.3595538626,1252160000000.0,72800000.0,7.5602797955,1.2261462976,-16.5020847991,458.17699210164835,12651.2089539148,-38.1647592754,0.14046562325222436,0.1806928819,-0.0339259859,0.0320198249,-0.031702614965449794,-35373786749.0,-7528174750,0.0813953488,1.0376147029,0.0052745462,1.0376147029,5.89825100265385,0.1974306296,246.09804877113214,246.09804877113214,0.1321022883,4.8982510027,0.000567578385070525,0.8821915822270114
PRE,2022,1,1.3930533983,1317680000000.0,72800000.0,7.9986951289,1.4111339441,183.7707407403,700.6265081456044,12993.0410582555,-41.551332695,0.20664328070128118,0.1793132801,-0.0328674998,0.0328734979,-0.0075065000398573944,-31806101992.0,-1852823913,0.0773480663,1.0537205848,0.0040609823,1.0537205848,5.661874127600931,0.1863360232,258.8500815030649,258.8500815030649,0.0230611392,4.6618741276,0.0006624339246469141,0.9060281504224138
PRE,2021,4,1.6026959844,1434160000000.0,72800000.0,9.837792074,1.6853009459,6.4002589285,755.1043077747253,12291.7884566621,-34.3562445434,0.7694911393335493,0.1587171348,-0.0436664396,0.0305126953,-0.2607099256980429,-39074572899.0,-18624827957,0.0,1.0290806067,0.0091924826,1.0290806067,5.61700450002393,0.1781151031,183.72526873182346,183.72526873182346,0.0,4.6190553706,0.00075892213085381,0.8570726127480843
PRE,2021,3,1.5288644849,1383200000000.0,72800000.0,10.6045597324,1.573555234,100.2570548266,360.51417414835163,12427.5239486676,-41.0309377652,0.12756227070134163,0.1415854135,-0.0375771079,0.027712567,-0.035810945267013526,-32354775455.0,-7367960129,0.0842105263,1.0176720462,0.0230904787,1.0176720462,5.389765637446677,0.186761523,255.437368810884,255.437368810884,0.0,4.3897656374,0.0011797130723182456,0.866593624006705
PRE,2021,2,1.5822029086,1470560000000.0,72800000.0,10.7328868763,1.7945284115,17.4751105232,445.99801054945056,12767.0097745192,-43.4105692396,0.21184215123154307,0.1488192446,-0.0370927535,0.0296622344,-0.025840267042381463,-32593601118.0,-3960489993,0.0792079208,0.9828269805,0.2251618092,0.9828269805,5.15059765272243,0.177406724,265.20575123311704,265.20575123311704,0.0,4.1505976527,0.00110979067049752,0.8902665819779694
PRE,2021,1,1.4260973405,1295840000000.0,72800000.0,9.1171187042,1.6472351183,6.7978595821,440.06326315934064,12481.616433022,-36.0790700883,0.17861560765579565,0.1569267362356186,-0.04074928164482117,0.03125787898898125,-0.04917632503003432,-34941935616.0,-8820295989,0.0898876404,1.1042226552963257,0.009434751234948635,1.1042226552963257,5.10212356252484,0.17300614714622498,264.19339886220126,264.19339886220126,0.0,4.102123737335205,0.0015753232719034529,0.870365590348659
PRE,2020,4,1.2363276486,1164800000000.0,72800000.0,7.9698803746,1.5073849206,6.2587915407,545.1066661950549,12941.5531698626,-35.4615073419,0.43580456491686215,0.1621727736,-0.0363386653,0.0324168479,-0.15207955656862843,-31868291001.0,-13848155608,0.0,1.089354726,0.0152536455,1.089354726,4.805250988815531,0.1713951068,243.05137434359509,243.05137434359509,0.0,3.8052509888,0.0019916050109718567,0.9024378072471264
PRE,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22603575868383452,0.0,0.0,0.0,-0.05403095734834582,0.0,-7846484607,0.0,0.0,0.0,0.0,5.015285327499845,0.0,0.0,0.0,0.0,0.0,0.0019110926025881184,0.8644265378036399
PRE,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160360524847596,0.0,0.0,0.0,-0.054756992229065556,0.0,-6512373160,0.0,0.0,0.0,0.0,5.173361012733013,0.0,0.0,0.0,0.0,0.0,0.002514717887995104,0.8329846136733716
PRE,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23649305032802853,0.0,0.0,0.0,-0.03954828693259778,0.0,-6029281062,0.0,0.0,0.0,0.0,5.51384373931523,0.0,0.0,0.0,0.0,0.0,0.00329596366070382,0.8109282115373563
