ticker,yearReport,lengthReport,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROIC (%),ROA (%),Bi̻n EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
PXC,2023,2,14034450000.0,28068900.0,-4.9030318321,19.0153110754,-15.4196447171,-10.638605823527106,0.0,-6.955365711,0.05000000007891471,-0.1571002259366514,0.0,0.0,-0.156264194569492,0.0,-297024846,0.0,0.0,0.0,0.0,0.0,-0.09847044607734155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03172129397837926,-0.6602554405872691
PXC,2023,1,14034450000.0,28068900.0,-4.9030318321,19.0153110754,-15.4196447171,-9.92439853360837,0.0,-6.8211064232,0.05000000037721123,-0.42031432755304654,0.0,0.0,-0.41889180365035905,0.0,-277624160,0.0,0.0,0.0,0.0,0.0,-0.09949654880935546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03246223726088281,-0.6591915800049165
PXC,2022,2,14034450000.0,28068900.0,-7.6252299295,2.5540003237,13.3614486239,-21.078881644809737,0.0,-12.7788015683,0.0,0.0,0.0,0.0,0.0,0.0,-589412514,0.0,0.0,0.0,0.0,0.0,-0.11320859300909017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03500449639301026,-0.6502839758451525
PXC,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-601382960,0.0,0.0,0.0,0.0,0.12629869024263657,-1.0557747162031104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043946599390481136,-0.6534097415716327
PXC,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-793081279,0.0,0.0,0.0,0.0,0.16840861711477517,-1.0929929766054147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0462177576488634,-0.633376079108907
PXC,2018,4,11227560000.0,28068900.0,-0.1374346249,1.163271439,-2.7840182661,-218.49337191696148,0.0,-2.0750350984,0.0,0.0,1.2152998571,-0.350019636,0.0,-62711942857.0,-758166908,0.0,0.5091701528,0.0050289713,0.1309747892,0.15749476331515475,-1.8551530359660655,0.0413530461,1.1074563036,2036.2366941527455,1221.0035610466,297.6898844981,3554.9301396974456,0.2989344271,-0.6961947333,-2.136719958,-0.06516258444357109,-0.4577981115041915
PXC,2018,3,11227560000.0,28068900.0,-0.115673244,0.5462623107,-1.1028391856,-165.43329485658504,0.0,-5.4041351922,4.701707569639957e-05,-0.800526644552679,8.5851622522,-0.3842757232,-0.18326738642272916,-23715597515.0,-1063059830,3.375,0.6402360647,0.0071590996,0.1403088901,0.22083047222063487,-1.973520904389791,0.0813719318,2.3383559989,885.8099724121691,2462.8491508913,571.5314107016,3920.190534005069,0.1482023371,-0.9769021247,-2.9735209044,-0.06976558218026822,-0.43594877431249535
PXC,2018,2,11227560000.0,28068900.0,-0.1262955635,0.4410502495,-0.5130068047,-991.2738728272216,0.0,-6.0050524526,-14.74243720448752,-22.641946818759838,0.0,0.0,-14.92118348960768,0.0,-18336167091,3.375,0.0,0.0,0.0,1.936061299493206,-2.020385307523234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0739073194648908,-0.41940544482683684
PXC,2018,1,11227560000.0,28068900.0,-0.1552771198,0.0935908385,1.2486548189,3.9884052812899684,0.0,-174.0466623656,0.45180464323796,0.042692427622271885,-0.036761358,-0.2528162842,-0.01255266369931389,-720790654.0,-32916202,0.0,0.7165652684,0.0152561053,0.1430664718,0.0,-2.876031546468321,0.4194490086,12.8627480788,191.29095676458712,763.5883476286,230.034775163,1184.914079556187,0.4780062466,-1.3297173311,-3.8760315465,-0.09860196087050725,-0.32027805754411465
PXC,2017,4,11227560000.0,28068900.0,-0.1543496608,0.0697156121,-0.4041622524,-2305.2978552419227,0.0,-27.7853109831,0.254064663047643,-5.93550627339048,-0.1826529684,-0.2231811005,-0.44331739714581053,-4515019021.0,-4832918215,0.0,0.7260499687,0.0105854502,0.182869983,0.08735911339206182,-3.0554914294313464,0.4941207017,16.3777583947,182.2488700510514,546.5843624482,176.3084098882,905.1416423874514,0.667783466,-1.3280635009,-4.0176037338,-0.1015715827908151,-0.31768103211739684
PXC,2017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21552388979634998,0.3288716084402269,0.0,0.0,0.09113650883335926,0.0,975487955,0.0,0.0,0.0,0.0,0.0,-11.647300191483223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3781321243256919,-0.08715124659320458
PXC,2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018130324242724916,-0.11731626704583618,0.0,0.0,0.029254169654364327,0.0,2800699276,0.0,0.0,0.0,0.0,0.0,-11.527239674560047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3560765428099851,-0.101400788192626
PXC,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014914588494429165,0.0008876909545763333,0.0,0.0,-0.03674698661605938,0.0,-1606061733,0.0,0.0,0.0,0.0,0.0,-19.000287334100804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6024790598108228,-0.06138682708976839
PXC,2016,3,0.0,28068900.0,-8.2349547971,0.0,0.0,15.603679374681587,0.0,0.0,0.05030238725783371,0.007805278514296021,0.0,-0.0040785726,0.011780416535450327,3237319608.0,661035302,0.0,0.9419901591,0.0239983572,0.259431095,-13.14446812487572,-118.37558274040146,0.5032445116,14.4801881286,78.40354514243526,617.5653767428,178.82835288,874.7972747652353,0.5910305431,-43.0327385947,-119.3755827404,-3.852881342642076,-0.010257656345635205
PXC,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06917077015423648,-0.013020815660897172,0.0,0.0,-0.005719836000887114,0.0,-180265199,0.0,0.0,0.0,0.0,1.0270936072018688,-104.7215193938508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.444021179278571,-0.011817810523390657
PXC,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02900590563993715,-0.5616325015729173,0.0,0.0,-0.4280186305822365,0.0,-2409279024,0.0,0.0,0.0,0.0,24.061830604416215,-109.89244318005886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.05456260017365,-0.010355831596535667
PXC,2015,4,0.0,28068900.0,0.0,0.0,0.0,63.071948954180606,9.0709530477,0.0,0.051097108544475495,0.023614576680984076,0.0,0.0,0.016900403540968886,0.0,1267005658,0.0,0.0,0.0,0.0,-8.05844834538597,1332.006028429291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.187579525184354,0.0008813059792154306
