ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Bi̻n EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Inventory Outstanding,Days Payable Outstanding,Inventory Turnover,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
VND,2024,3,1.1497172606,22377808647600,1522299908,8.5606877845,3.701807549,-8.9476582319,331.8322747182351,12785.752205051,11.9912858566,0.7017008458769272,0.3978867634969627,0.130013192,0.0870611598,0.0533395591,0.6254388698551114,3608598834139.0,794043366398.0,1.7682739037,1.0482503876,1.7682739037,-4.5823126359037065,2.224463724918408,0.1409619346,60.0139059314,0.0,3.7514026545,0.0,1.0969361114,1.2244637249,0.005137995255269087,1.2785752205051044
VND,2024,2,1.1695262716,23062843606200,1522299908,8.3927942961,3.5293316233,10.7224567446,226.55684751049725,12953.962957334,10.5449117877,0.4492391157792108,0.23651088982461746,0.1453675488,0.0999799479,0.0570364295,0.3949818412056655,3973535319896.0,575974693041.0,1.5783559535,0.871931181,1.5783559535,-3.730435835881356,2.612420696541591,0.1539178286,65.6527927168,0.0,3.6959372716,0.0,1.2696574225,1.6124206965,0.005946257291039205,1.1353971847040931
VND,2024,1,1.2802238239,25041917414500,1522305010,8.5881559558,3.7487720226,6.0647093733,405.3524287251738,12849.3156375134,9.2889022347,0.7764831440374647,0.44560336863304917,0.1555609198,0.1199811154,0.0601152154,0.6654881213497702,4341905869459.0,921565692613.0,1.665591259,0.8220791933,1.665591259,-5.836761955927255,2.4144441982410636,0.1602720574,69.1294683222,0.0,4.0801152144,0.0,1.0892995424,1.4144441982,0.0054948581173028775,1.1249353343623798
VND,2023,4,1.6193341558,26731675997550,1217844009,13.2186759557,4.0740673774,12.2902285258,673.6023365517907,13554.9540047817,11.6951412192,0.7512498481332294,0.42449856292610766,0.1303732241,0.1064763039,0.0501720214,0.6529120938865105,3982195067089.0,1261751232802.0,1.6338005847,0.8728818913,1.6338005847,-4.566502350421213,2.529321584969103,0.1627888062,71.4194050457,0.0,6.8495425454,0.0,1.2399265773,1.5286253041,0.006425098342137513,1.0840895475078094
VND,2023,3,1.6889897866,26548999396200,1217844009,22.7794553791,4.0299638644,-6.1528769025,524.858775250583,12907.1236382927,14.9248065215,0.7040972202124912,0.36336636513377923,0.0777449676,0.0801524999,0.0292235657,0.661039606825055,3108225021466.0,1162831756304.0,1.5637348068,0.8584566248,1.5637348068,-3.1809746303075292,2.645154858536151,0.1651888079,78.4503100993,0.0,0.9411044335,0.0,1.4333571702,1.6451548585,0.00605789571782209,1.0325733525773162
VND,2023,2,1.780772762,26853460398450,1217844009,47.2249229859,4.3344116644,-101.649557404,352.22345670380514,12382.2648630421,20.1506737101,0.6438689896334945,0.2674868705973072,0.0386547519,0.0601584063,0.0142097371,0.5903177968322719,2324570498358.0,946658514831.0,1.5317621939,0.8969079712,1.5317621939,-2.2957232218227457,2.788508052781323,0.1548255015,87.3210782933,0.0,0.6557447234,0.0,1.5212724685,1.7885080528,0.006045684416668056,0.9905845097973296
VND,2023,1,1.4630409096,21434054558400,1217844009,36.1527132537,3.3759634868,13.16007931,111.40704478515852,12029.738802764,18.272416972,0.5094301578736504,0.10509467924309633,0.0408285848,0.0638609794,0.0146504447,0.4455967141342207,2142444992404.0,575261843657.0,1.6548246351,0.9498269671,1.6548246351,-1.4743350248542273,2.527238892851014,0.1562741,105.0050723352,0.0,0.6522802526,0.0,1.2558496765,1.5272388929,0.004901062725200094,0.9623823304324209
VND,2022,4,1.245956546,18084646765350,1217821331,13.5555003528,2.6481262611,-5.4001843788,-31.49869902549769,11918.553698522,12.3344598235,0.24401776353479468,-0.019832682685769435,0.1002812328,0.0775742196,0.0321272613,0.19700933629152062,2652101787431.0,381049624480.0,1.6435015192,0.9188151853,1.6435015192,-1.0375424433840044,2.6780221232720716,0.1797983199,101.6538129425,0.0,1.0898080826,0.0,1.3305148565,1.6780221233,0.005353852549484554,0.9534697369717636
VND,2022,3,1.2432657863,18145537831900,1217821331,7.1217464264,2.6029022348,-2.4202195838,34.766226542635586,11984.5652988484,9.4283639902,0.3529750102934049,0.030981169081927242,0.1699822026,0.1073968521,0.0503896886,0.28117070886519213,3476014931683.0,384249584363.0,1.5721452777,0.7890300926,1.5721452777,-1.7661788451283873,2.885665796417399,0.1675791968,142.7392235817,0.0,0.4261085062,0.0,1.2028213086,1.8856657964,0.0029544604785022638,0.9587505843625131
VND,2022,2,1.163175777,16927716500900,1217821331,4.6557990203,2.3410111534,-0.7402013609,374.0734040057638,11950.04252567,9.0547589824,0.503757438052642,0.25924289828134517,0.2448968339,0.1111366671,0.0693311821,0.43817271001890284,3928495424964.0,769978973981.0,1.5393216406,0.8047475802,1.5393216406,-3.674515312067109,3.0576352719149296,0.1892165313,147.0941329297,0.0,0.4061480524,0.0,1.4150227476,2.0576352719,0.003382357323543443,0.955988804678953
VND,2022,1,1.5319719999,22529945964500,1217834917,5.9299366032,3.4120197119,-0.9687737211,624.670836092475,12075.9387253305,11.7771844363,0.657008613228882,0.4295094157673222,0.3151491925,0.1125346648,0.0807987462,0.6147242091141673,3794424528530.0,1088797914234.0,1.3907468442,0.5463797313,1.3907468442,-6.621435636828079,4.121866225556349,0.2017982026,137.0354811031,0.0,0.3502472622,0.0,2.2356359301,3.1218662256,0.004476161762144281,0.6803556842401123
VND,2021,4,3.7691536721,37022447264000,1217843660,9.2607129891,6.1303230738,-1.6518280306,687.7438497220571,8065.4710963852,14.5261154567,0.6287854739409696,0.4034087387094871,0.3493580418,0.1127891053,0.0915261872,0.5827015029955719,3436786715033.0,1209815352645.0,1.3894382827,0.581061784,1.3894382827,-8.693855163549829,3.7765171066699352,0.2319620913,119.6874372658,0.0,0.7398570974,0.0,2.0818237732,2.7765171067,0.005767683837159217,0.6452396658520984
VND,2021,3,3.1769716663,27140429596800,434942782,9.1001590839,5.9229456104,-2.0378135006,1369.4629575390907,19641.3460852329,15.2401114329,0.5580558480464188,0.36625867398044,0.332143908,0.1117092381,0.0849365008,0.5149198139063472,2627352374156.0,837402209504.0,1.4708085448,0.5976642779,1.4708085448,-8.962457425210689,3.3452145241461944,0.2160666442,105.2638441985,0.0,0.574589395,0.0,1.7342438138,2.3452145241,0.005197098061605934,0.5611812536834233
VND,2021,2,2.7702362661,22009125473100,429027787,9.5843747347,6.2923772122,-4.9805547248,1048.6413171159004,18518.2760866,14.8582399024,0.6005044318711664,0.39834309884147584,0.34783212,0.132253291,0.0834660195,0.5624196946912364,2178441238961.0,635207488154.0,1.2501082343,0.1795178346,1.2501082343,-6.874194134268498,4.658870654499513,0.1995448744,77.6833658949,0.0,1.0113300958,0.0,2.3799597002,3.6588706545,0.009376821332311068,0.3175681511956053
VND,2021,1,2.1332461146,16217303608800,429029196,7.5606558107,5.8780043434,-2.042380058,1165.098180029221,17719.4744388631,15.0978454117,0.7565482722197523,0.45931682182720396,0.29723939299583435,0.11124654114246368,0.07687651365995407,0.6725057630416496,1800495955968.0,731868458390.0,1.1838130950927734,0.15430864691734314,1.1838130950927734,-8.249655368455688,4.271864106312658,0.1862497180700302,59.92256164550781,0.0,1.5471762418746948,0.0,2.572956085205078,3.271864175796509,0.008934651304047175,0.29506071815699014
VND,2020,4,1.9546025697,7465105226400,214514518,11.0729454569,3.4973082351,-3.6277002423,1192.9391066202802,17804.1308957466,12.7013148185,0.7367207870890277,0.3466177489242674,0.1960358841,0.0928707339,0.0521796999,0.5483734802477725,1253231769273.0,404856029874.0,1.1973501641,0.1836224067,1.1973501641,-4.767055270986596,3.802778278646157,0.1607742466,42.367331379,0.0,1.2884540797,0.0,2.4764792769,2.9212163784,0.01157502564056582,0.25120374360575737
VND,2020,3,1.2798157298,4566604622100,208520759,7.7312563441,2.5514909047,-2.8803569084,1189.9533796872474,17111.8384394668,11.2237340438,0.8914943672709257,0.4774968921545826,0.1741856455,0.0934655188,0.0487849598,0.7487194123199089,1159969631055.0,389070038538.0,1.2274693728,0.1704278913,1.2274693728,-4.621659732120279,3.760566343603155,0.1478239345,33.9972454144,0.0,1.290823898,0.0,2.418016024,2.7605663436,0.013798987686819144,0.23439359882579722
VND,2020,2,0.9089729723,3127813050000,208520870,6.8899389562,1.8533503554,-5.1030522724,646.9584879153823,16502.1408301049,10.4296483637,0.7933899844124366,0.3268207576327033,0.1386811082,0.0898147429,0.0390885121,0.6288262251570033,1022343266035.0,259565493150.0,1.3413045061,0.1360342398,1.3413045061,-2.866334039168072,3.5178149269600345,0.1453068954,30.4369796091,0.0,1.0606359675,0.0,2.2436235524,2.517814927,0.01468654164460519,0.22604223679398658
VND,2020,1,0.7062816895,2335434046400,208520897,6.642140251,1.3998400247,21.3526143873,278.8674419475569,15857.6955443463,9.6421594853,0.5819446544142125,0.13062137018892633,0.1112452111,0.0879997853,0.0303908264,0.4044276955061657,912014990081.0,180042092185.0,1.4246425775,0.2244187331,1.4246425775,-1.6493513691606119,3.4263145687958123,0.1442200241,28.296258329,0.0,0.8144762616,0.0,2.0645269527,2.4263145688,0.016423188448247947,0.21721481305246193
VND,2019,4,0.6901861825,2242077587750,208565357,6.1925294636,1.4928493128,-3.9377715615,716.706226849553,15575.5074104757,9.4831007974,0.9601471382020911,0.3626605158431433,0.1228154253,0.0908490657,0.034611447,0.7551010282760964,911229760103.0,311234790625.0,1.4185683861,0.2661123511,1.4185683861,-2.598934151764541,3.5642136995381866,0.1358447958,23.2108455765,0.0,1.7804692092,0.0,2.0174189205,2.5637968869,0.01739433357984653,0.21337045295361076
VND,2019,3,0.972604638,3013769596500,208565370,10.9083924903,2.0248753589,80.8467769592,534.3924506067331,14857.0132565392,12.2697450034,0.7676690434391554,0.2669459505972965,0.091647383,0.0760429331,0.0247110222,0.6026500974198039,767169625023.0,251619565613.0,1.3751049887,0.228033115,1.3751049887,-2.239360623800975,3.6938449719993494,0.1321915414,22.4066205852,0.0,1.4168152789,0.0,2.1613709702,2.693844972,0.019507720562568512,0.2035511170079503
VND,2019,2,0.9494077036,2836489236000,208565385,10.5897008589,2.0069894402,-1.7420325622,155.72995200042422,14324.7205054281,12.930121533,0.5636432616179299,0.08254472167657952,0.0897609792,0.0705470818,0.0245312884,0.37825423759525884,717093374376.0,148836303663.0,1.2271425127,0.2195813794,1.2271425127,-1.3575133129576888,3.989732443585239,0.1273049304,19.9661344519,0.0,2.8318486752,0.0,2.2925956078,2.9897324436,0.021618594365464063,0.19625836088745266
VND,2019,1,1.0149949029,3118052954250,208565415,9.570251357,2.1860970163,-1.8658780373,426.1001960559952,14729.1380060544,12.5766573407,0.8937962172709597,0.27689010647640117,0.1072681631,0.0756153087,0.030995695,0.6350472111791085,744537744378.0,203822724638.0,1.3157424799,0.1829089929,1.3157424799,-2.1570931394334627,3.622055540670238,0.1358529922,21.1439321206,0.0,3.2340820219,0.0,2.1040780699,2.6220555407,0.022055235587092357,0.20179918324116458
VND,2018,4,1.1047306222,3295333952000,208565440,9.3338457243,2.1419290488,-1.6340095577,207.5294159089828,14302.1291190573,14.3240988052,0.38024473378944107,0.12672698323401893,0.1357193996,0.0692735454,0.0401149902,0.09028470944789085,645093255749.0,30836644779.0,1.451166712,0.2843492411,1.451166712,-0.34393578852879836,3.531642324955296,0.1653992518,23.307087281,0.0,1.4765000762,0.0,2.0155837366,2.531642325,0.024443265708093007,0.19594889528515955
VND,2018,3,1.0524318672,3253621597200,208565487,6.2813223233,2.0972643636,-0.8512385005,506.1667304907451,14822.8122750769,11.5037570099,0.8069884266637021,0.3082714049862315,0.1568451138,0.085949156,0.0462569997,0.5860065061278315,799622868529.0,200680528534.0,1.4272244982,0.2093442748,1.4272244982,0.0,3.498608854674459,0.1629454602,25.5496218324,0.0,2.7662085363,0.0,1.9325706363,2.4986088547,0.02519336148825704,0.20308265438461814
VND,2018,2,1.3410973223,4004909988500,216481621,7.0694082944,2.6641227754,-2.0022621262,395.2368725980669,13794.6737287412,10.8023166061,0.599468329515429,0.2104901241326146,0.0,0.0,0.0,0.43273811775581217,0.0,175902459918.0,0.0,0.0,0.0,-2.4303761434436395,3.184098386154393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01717073481747292,0.19616984237274224
VND,2018,1,1.0487363782,3875166256500,216489735,7.0974271139,2.7469564044,-1.6711547597,640.7805331878668,17068.1597128327,11.1693886595,0.6213424737637062,0.3096493393282044,0.179252177,0.1016480903,0.05385773,0.48150828655255856,769677444087.0,215714940785.0,1.4739384195,0.1579190744,1.4739384195,-4.164043532901762,3.668421237334291,0.174250508,24.848837673,0.0,1.3483778862,0.0,1.8040634837,2.6684212373,0.020642127240555128,0.1737852982525438
VND,2017,4,1.9538534555,6839180605600,216429766,11.3287803017,5.5135479554,-2.7282899928,510.78434732494236,16173.167906491,14.6453666965,0.7967977635273614,0.31191099195376,0.211941018,0.1056425401,0.0713934947,0.5274113191947215,743708913757.0,186927559722.0,1.3752618581,0.2064880286,1.3752618581,-3.666250219922723,3.210892234870603,0.1875821598,20.1240280735,0.0,2.2392999843,0.0,1.736028691,2.2118034089,0.023565709511936744,0.16476082132161568
VND,2017,3,1.8078253529,4182638644500,150997785,9.0785031579,3.6347751255,-2.9007734092,749.1326543962218,15322.2765434933,11.7900638641,0.8107755718195373,0.38427563737318826,0.2066214773,0.1041500373,0.0681291165,0.619792420381696,698498998078.0,182445314356.0,1.4675565085,0.2030570097,1.4675565085,-3.791940179476709,2.887680287561568,0.1752362995,19.309177502,0.0,0.6232748631,0.0,1.7576060498,1.8876802876,0.023344578037204765,0.15600899240571983
VND,2017,2,1.4469804542,3103004481750,150997785,7.8421541728,3.0500858347,-1.8674950367,487.672471678972,14201.988658769,12.8271545068,0.7144903709072182,0.23457063432149552,0.1888592887,0.0837260472,0.063837081,0.5382265638151403,579423874943.0,168962491016.0,1.3874798694,0.2308371373,1.3874798694,-3.2442488090598163,3.528483589269511,0.1671879791,16.4158282872,0.0,0.6072632689,0.0,2.0426505709,2.5284835893,0.026316313696583046,0.1446023986398349
VND,2017,1,1.8059722208,3610444846500,144997785,9.7924803444,3.8539099615,-1.2844966438,732.1778585238388,13787.587490368,14.0809065737,0.8555408732233879,0.4108596888844173,0.1903526036,0.0824337336,0.0704540626,0.6481177696715436,538886506474.0,167470514772.0,1.492936738,0.9488088419,1.492936738,-3.6909633049407353,3.0270566309359856,0.1736271538,14.6765225134,0.0,0.4589977066,0.0,1.9533189601,2.0270566309,0.028467293131437664,0.1403830315927471
VND,2016,4,1.1933562752,2174966775000,144997785,12.4805589092,2.9737351197,-1.0530766823,262.6201612114282,12569.5907512389,13.2523240796,0.6753189638374235,0.23176237512273085,0.0959331387,0.0,0.0340819631,0.26457962900586496,349079522403.0,43471327419.0,1.613275188,0.9988096323,1.613275188,-1.5348939851571999,2.6558009972787207,0.1338107997,10.7537636209,0.0,2.6541521481,0.0,1.438412707,1.6557459192,0.03294768184963206,0.12794468822847752
VND,2016,3,0.9820547295,1783472755500,144997785,8.797454507,2.7074604892,-0.4579859804,373.696452707881,12524.7602093934,14.2589814155,0.6781108899425201,0.33658144005063817,0.1061474027,0.0,0.0415568485,0.3797222522827123,326818376520.0,61130257797.0,1.6642973637,0.9421789632,1.6642973637,-1.5353484023240154,2.5402338571977503,0.1322063304,9.7468712774,0.0,-53.9450979231,0.0,1.5671569643,1.5402338572,0.03346027122958827,0.1275251242753803
VND,2016,2,1.0269337908,1949971205000,149997785,10.0814413997,2.9848214421,-0.8896164122,433.742932843975,12659.0439578172,14.3858570497,0.7392161185866283,0.2798030070784035,0.1029109778,0.0,0.0400806239,0.5513096302782596,322173650157.0,128191862912.0,1.6576969964,1.160281471,1.6576969964,-3.9066861596495865,2.5530495266605286,0.1315366868,9.3314198335,0.0,-52.2430196682,0.0,1.5782446144,1.5530495267,0.0333114339162507,0.12889238012862048
VND,2016,1,1.0891838766,2069969433000,149997785,12.1670992834,3.8575956802,-0.6240078301,189.34226168073081,12670.036984612,13.0078757323,0.7199532827329119,0.2636167652995364,0.0894658029,0.0,0.035923342,0.29784632909403996,247760237458.0,32088663683.0,1.8784244734,1.2217859195,1.8784244734,-1.7644171013637167,2.155778404387402,0.1133238659,7.3973155859,0.0,-61.3973316904,0.0,1.216208653,1.1557784044,0.03467628909549736,0.12900430938586116
VND,2015,4,0.9530061401,1844475783500,154997965,10.1469242498,3.4532766383,-3.4448548592,383.3129445473687,12486.8030743396,3.6873286581,0.8023070890698267,0.3772704543237594,0.0,0.0,0.0,0.4763164744847818,0.0,75010539618.0,0.0,0.0,0.0,0.0,2.973924407967406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036837969697424304,0.1271386507393785
VND,2015,3,0.8427320092,1580979243000,154997965,9.6768532012,3.1739092774,-1.0071304782,298.01697278412655,12103.4918437583,4.0697743255,0.6396329253190782,0.296945551769085,0.0,0.0,0.0,0.3724700056760884,0.0,57940398356.0,0.0,0.0,0.0,0.0,2.594720864212781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040129765479796485,0.12323583651395714
VND,2015,2,1.084242669,1983973952000,154997965,11.2899367249,4.3431088325,-6.5908554205,232.86531014778163,11805.4752555167,8.2547253357,0.7174688034065573,0.311629191715602,0.0,0.0,0.0,0.3896931044602029,0.0,45135200998.0,0.0,0.0,0.0,0.0,2.23141043415605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04124817041815174,0.12020147882436842
VND,2015,1,1.1844985323,2216470899500,154997965,11.7361398686,5.083816614,6.426312085,258.5754626455902,12072.619433043,4.2873466957,0.7763649647045003,0.38074697256886814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9128568578724268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04091864786982995,0.12292149851887135
VND,2014,4,0.9289978149,1704977615000,154997965,7.7403506115,3.9168764143,0.0,233.25995749040962,11840.7167633372,0.6265449444,0.6882166178342677,0.2976331739776042,0.1037822471,0.0,0.0644063683,0.0,204563245924.0,0.0,2.5737529459,2.0621575421,2.5737529459,0.0,1.6024885834424738,0.1781753743,6.3045303657,0.0,46.0142151493,0.0,0.0571818692,0.6028583153,0.04243345240942374,0.12058811837634296
VND,2014,3,1.1324958759,2045978061600,154998338,11.6230351504,5.2993246385,3.811992699,280.31917118362907,11655.6715838721,4.26638895,0.7472375973222669,0.38029926180860624,0.1030602575,14.2378431565,0.0465159382,0.0,158102538974.0,0.0,1.762177575,1.3246416035,1.762177575,0.0,2.220948361731407,0.1403336987,5.7277881756,0.0,4.0896283407,0.0,0.1378106068,1.2209483617,0.05685052686031741,0.08583162338166547
VND,2014,2,1.3196298426,1609982096800,99998888,14.8179531236,4.9815846241,-3.0725443114,313.89479717014456,12200.3909576574,2.8429460493,0.7062208751168206,0.33041744604081447,0.0880242288,11.2037724203,0.0434434074,0.0,131428986683.0,0.0,1.7791879464,1.5597461248,1.7791879464,0.0,2.189969937039004,0.1307119978,5.1895015172,0.0,4.7059215377,0.0,0.3377088124,1.189969937,0.059275062317232854,0.08014357240117498
VND,2014,1,1.2942250783,1609145501600,96936476,11.4500208957,5.3599168397,1.9877070522,478.1944958469503,12826.2079587048,-1.2881793678,0.7864637740549598,0.443294129546062,0.1181359319,11.1979506026,0.064534063,0.0,169453636873.0,0.0,1.5178101237,1.2940815314,1.5178101237,0.0,2.8074931010708037,0.1350072319,5.2731098695,0.0,5.8197665094,0.0,0.400520728,1.807493101,0.05053345342105493,0.0816742741312706
VND,2013,4,1.4334280624,1715775625200,96936476,14.189153674,6.5333261886,32.9350973518,69.95237749307083,12348.0211276713,5.2031164029,0.37768307656461697,0.09383220234283496,0.1081821249,0.0,0.0695251678,0.0,141012158431.0,0.0,2.5018207335,2.2482258357,2.5018207335,0.0,1.6210301631756043,0.1467416744,4.8127939139,0.4223116743,4.601900178,864.2905753344,0.1113632391,0.624411205,0.0502871621972968,0.07862929291394269
VND,2013,3,1.0004943316,1221399597600,96936476,9.658400595,5.3384747055,10.9963288265,236.13101610997288,12593.7744987243,1.6364925406,0.9469119490899698,0.44572865229085556,0.1086854283,16.124087097,0.0721790005,0.0,145663710637.0,0.0,3.0369020475,2.8182434648,3.0369020475,0.0,1.464010097389993,0.1306215437,4.5238679932,1.7272812639,17.1560592761,211.3147450977,0.0204784399,0.4640100973,0.04404420476159814,0.08019419255229962
VND,2013,2,0.7179120106,859779289600,99974336,7.5697386112,3.775476184,-2.548893619,674.9791707843901,11979.183900539,-0.1382755947,1.3129286088700391,0.9368396547899586,0.1000375518,11.3502216448,0.0659756409,0.0,128125089170.0,0.0,3.368350859,3.1221621309,3.368350859,0.0,1.3996596726636568,0.1323009034,4.6075942275,0.5355869887,7.7705767977,681.4952709453,0.0,0.3996596726,0.04252779057171989,0.07869056580603827
VND,2013,1,0.8048549375,909766457600,99974336,12.0092261605,3.7781050184,3.5358701081,272.8278981017688,11306.3852571426,-3.8004592446,0.7194835932322917,0.43756678340152705,0.0682133931,12.0101182521,0.0421331922,0.0,85002588032.0,0.0,2.3735238423,2.2717852107,2.3734823087,0.0,1.6895172245071777,0.1339476652,5.1008620474,0.2011226246,2.927708347,1814.8132295778,0.0,0.6895172245,0.04302298973915419,0.07427099045249368
VND,2011,2,0.9176251816,1009546297900,99955079,-2.7845641963,2.6645640594,-6.4858814598,-991.4788110066924,11006.672660936,-1.5054366528,-0.8850621411364787,-1.3257821596011785,0.0,0.0,0.0,-1.1657240412785062,0.0,-87138862543.0,0.0,0.0,0.0,0.0,1.7454781981154235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03980120716489948,0.07227043958745348
